contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,hora,seguidors,seguits,tema,actividad
1,0,1,5,6.061,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,2,1,2,1,2,1,2,0,0,0,0,0,2,0,0,0,0,0,67724,3080,4853,S,A
2,0,0,3,7.071,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,6773,4455,1539,P,A
1,0,0,1,3.846,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,3919,84,227,P,A
0,0,0,1,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,3,3221,2110,1399,P,R
0,0,0,9,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2858,1130,1231,P,R
0,0,0,1,6.349,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,2,3,2,3,2,2,0,0,1,0,0,0,0,0,1,4,1,2086,258,395,P,R
5,0,2,17,4.219,7,1,0,4,4,5,0,1,0,0,1,0,0,0,1,1,6,4,8,4,8,2,7,1,0,2,2,0,0,0,0,5,2,0,1861,179,153,P,R
0,0,0,1,2.222,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,8,0,1336,3228,2755,P,R
0,0,0,3,3.101,2,0,0,1,1,2,0,0,1,0,2,1,0,0,0,1,4,3,5,3,5,2,3,0,0,0,1,1,2,0,0,2,0,0,1300,177,242,P,R
0,0,3,8,16.0,5,0,0,2,1,2,0,0,0,0,1,1,0,0,0,1,4,1,4,1,4,1,4,0,0,1,2,1,0,0,0,2,103,31,1123,19328,11933,P,A
0,0,0,1,8.696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1098,2023,443,P,R
3,0,0,6,3.556,2,0,0,2,5,4,1,1,0,0,2,1,0,0,0,1,6,5,6,5,6,5,4,0,0,0,1,1,0,0,0,2,0,0,977,12,56,P,R
1,0,0,6,1.307,4,0,0,0,1,1,0,0,0,0,3,1,0,0,0,1,3,3,4,3,4,2,3,0,1,1,0,0,0,0,0,2,1,0,816,517,607,P,A
3,0,0,4,5.376,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,4,3,4,2,1,0,0,0,0,0,0,0,0,1,0,0,590,925,1179,P,A
0,0,0,3,0.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,140,4308,4228,P,R
0,0,7,13,2.703,2,0,0,1,1,3,0,0,0,0,2,0,0,0,0,1,6,5,7,6,7,5,3,1,0,1,0,0,1,0,0,2,1,0,85357,453,258,P,A
0,0,0,6,0.441,1,0,0,2,3,4,0,0,0,0,3,0,2,0,0,1,5,4,6,4,6,3,4,1,0,0,0,0,2,0,0,5,0,0,84764,279,291,P,R
3,0,0,8,5.96,2,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,4,3,4,3,4,3,2,0,0,0,0,0,0,0,0,4,0,0,84662,1084,1339,P,A
1,0,0,6,3.419,3,0,0,0,1,1,1,0,0,0,3,1,0,0,0,2,3,3,5,3,5,1,3,0,0,0,0,0,0,0,0,2,2,0,84381,549,558,P,V
1,0,4,15,3.556,7,2,0,5,7,8,1,2,0,0,0,0,0,1,0,1,6,3,7,3,7,2,6,1,0,2,0,1,0,0,0,1,0,0,84139,280,1202,P,V
0,0,0,3,7.042,1,0,0,0,2,3,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,83431,1048,1758,P,A
2,0,0,13,4.615,1,0,0,2,4,2,0,0,0,0,2,1,1,0,0,2,4,2,5,3,4,3,3,0,0,0,0,1,2,0,0,4,1,0,2745,282,339,TV,A
0,0,0,8,6.522,5,0,0,4,7,8,0,0,0,0,4,0,0,0,0,1,3,2,6,4,5,4,5,0,0,0,0,0,0,0,0,7,18,4,1213,1193,999,TV,A
0,0,0,5,1.596,1,0,0,5,5,9,1,0,0,0,8,1,0,0,0,1,7,6,9,7,9,6,4,0,0,2,0,0,1,0,0,4,0,0,1041,1424,1045,TV,A
0,0,0,4,3.209,1,0,0,1,4,4,0,0,0,0,2,0,0,0,0,1,3,2,5,4,5,4,2,0,0,0,1,0,0,0,0,2,9,1,86396,5595,2027,TV,A
0,0,3,14,1.984,8,0,0,1,4,3,0,0,0,0,8,1,1,0,0,1,10,3,10,4,11,4,8,1,0,1,3,0,0,0,0,2,5,1,85857,1193,999,TV,A
1,0,0,7,3.333,6,0,0,1,2,2,0,1,0,0,1,0,0,0,1,0,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,3,0,0,85262,38,106,TV,A
1,0,0,12,4.464,3,0,0,4,10,10,0,0,1,0,3,0,0,0,0,1,8,4,9,6,9,6,7,1,0,2,1,0,1,0,0,3,4,0,84735,349,299,TV,R
0,0,0,2,1.613,2,0,0,0,0,1,1,1,0,0,2,0,0,0,0,3,5,3,6,3,6,2,4,0,0,1,1,0,1,0,0,2,0,0,84700,249,285,TV,A
1,0,0,6,14.05,5,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,6,3,6,3,6,3,4,1,0,1,1,0,0,0,0,3,1,0,84660,251,646,TV,A
3,0,0,12,6.202,6,0,0,3,6,6,1,0,0,1,3,0,0,0,0,0,4,2,5,3,5,3,4,0,0,1,2,0,0,0,0,3,1,1,84533,0,0,TV,A
0,0,0,8,4.825,3,0,0,3,7,8,3,0,0,0,4,0,0,0,0,0,4,2,5,3,5,3,3,0,0,0,0,0,2,0,0,2,2,0,84441,371,776,TV,V
1,0,0,3,3.922,1,0,0,1,2,3,0,0,0,1,3,0,0,0,0,2,3,4,4,4,4,3,3,1,0,0,0,0,0,0,0,3,5,0,84297,199,534,TV,V
0,0,0,1,2.703,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4,0,84034,766,176,TV,A
0,0,0,8,8.271,3,0,0,0,2,1,0,2,0,0,2,1,0,0,0,0,1,1,2,2,2,2,2,0,0,0,1,0,0,0,0,5,0,0,83861,0,0,TV,A
1,0,0,2,0.862,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,3,0,0,83562,260,313,TV,V
0,0,1,4,10.577,3,0,0,1,2,3,1,0,1,0,1,1,0,0,0,1,2,2,3,2,3,1,2,0,0,1,0,0,0,0,0,4,2,1,83383,87,367,TV,A
1,0,3,9,4.545,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,3,0,0,83324,2226,782,TV,A
0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,4,2,83199,183,383,TV,A
1,0,0,3,2.825,2,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,6,5,7,6,7,6,6,0,1,0,1,0,1,0,0,2,3,0,83178,92,559,TV,A
1,0,0,3,3.604,2,0,0,2,2,4,0,0,0,0,3,0,0,0,0,0,5,4,5,4,5,4,2,1,0,1,0,0,0,0,0,1,0,0,82635,16,285,TV,A
4,0,0,7,9.091,1,0,1,0,2,2,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,1,81582,2391,2054,TV,A
0,0,1,4,5.625,2,0,0,3,4,5,0,2,0,0,2,0,0,0,0,0,2,1,3,1,2,1,3,0,0,1,0,0,0,0,0,3,2,0,81445,362,809,TV,V
0,0,0,2,5.714,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,81149,49,123,TV,R
1,0,3,9,4.734,4,0,0,3,5,4,1,0,0,0,2,0,1,0,0,0,4,1,5,2,5,2,5,0,0,1,1,0,0,0,0,3,6,2,80982,4174,1143,TV,A
0,0,3,5,64.516,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80951,1404,3662,TV,A
0,0,0,2,3.061,2,0,0,2,2,3,0,0,0,0,1,0,0,0,1,0,4,2,6,3,5,3,5,0,0,1,1,0,0,0,0,3,0,0,80939,0,0,TV,R
0,0,7,11,10.345,7,0,0,0,1,2,0,0,0,0,3,0,0,0,0,1,1,1,3,2,3,1,1,0,0,0,1,0,0,0,0,1,0,0,80615,346,781,TV,V
0,0,0,8,2.239,5,0,0,1,3,2,0,0,0,0,1,1,0,0,1,1,4,3,5,4,6,3,2,0,0,0,0,0,1,0,0,5,1,0,80142,29,175,TV,R
0,0,2,5,0.541,1,1,0,1,3,6,0,0,0,0,3,0,0,0,0,6,5,6,7,6,8,3,3,0,0,0,1,0,0,0,0,1,2,0,80059,591,397,TV,A
0,0,0,0,2.02,2,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,2,9,1,79604,2219,4971,TV,A
0,0,0,6,67.273,14,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,28,3,79270,5543,4236,TV,A
1,0,0,2,7.143,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5099,495,523,TV,A
1,0,0,7,1.351,4,0,0,0,1,2,0,1,0,0,2,0,0,0,1,1,2,2,3,2,3,1,2,0,0,0,0,0,0,0,0,2,0,0,3585,0,0,TV,V
3,0,0,5,7.292,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,2,0,3288,1151,968,TV,A
0,0,1,10,1.29,6,0,0,1,2,3,0,2,0,0,1,0,0,0,0,1,1,2,2,2,2,1,1,0,0,0,0,1,0,0,0,2,0,0,1722,44,120,TV,A
2,0,0,4,4.444,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,1,4,4,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,84247,1321,2224,TV,A
1,0,1,11,3.404,7,0,0,3,5,5,0,2,0,0,4,2,1,0,0,1,8,8,9,8,9,7,4,0,0,0,0,1,2,0,1,2,8,0,82764,1005,949,TV,A
2,0,0,3,10.811,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0,1,3,1,3,1,3,1,3,0,0,1,1,0,0,0,0,0,2,0,82617,125,34,TV,A
3,0,0,7,3.311,4,0,0,0,2,3,1,2,0,0,3,0,0,0,0,0,4,4,6,6,6,6,1,1,0,0,0,0,0,0,0,1,0,0,76629,0,0,TV,A
1,0,0,9,5.495,8,0,0,1,3,3,0,1,0,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,1,0,0,0,0,1,1,0,74878,13,17,TV,A
1,0,0,2,3.774,0,0,0,0,3,3,0,3,0,0,2,0,0,0,1,0,2,0,2,0,2,0,2,0,0,0,1,0,1,0,0,2,0,0,74797,13,17,TV,A
0,0,1,2,0.0,2,0,0,2,3,6,0,2,1,0,2,1,1,0,0,3,8,9,12,10,12,7,7,1,0,1,1,0,0,0,0,2,10,0,73066,352,34,TV,A
0,0,1,1,50.725,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,3,2,4,2,4,1,3,0,0,0,0,0,0,0,0,0,6,1,69584,5341,5647,TV,A
0,0,1,1,41.538,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,6,2,69435,5341,5647,TV,A
1,0,1,5,4.688,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,2,2,3,2,3,1,2,0,0,0,1,0,1,0,0,1,9,0,69035,1184,1080,TV,A
0,0,2,8,1.724,1,1,1,2,1,2,0,0,0,0,1,0,0,0,0,2,6,2,8,3,7,3,6,0,0,1,1,0,0,0,0,3,2,0,6939,29,44,TV,A
0,0,0,1,0.781,0,0,0,2,3,3,0,0,0,0,1,1,0,1,0,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,5999,187,277,TV,A
0,0,0,0,0.0,7,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,2,1,2,1,1,0,0,0,1,0,0,0,1,2,16,0,5233,1290,1167,TV,V
1,0,0,1,7.692,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5007,0,0,TV,R
0,0,0,2,1.6,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2,4,4,5,5,5,5,5,2,2,1,0,1,2,0,0,1,0,0,4936,0,0,TV,V
0,0,0,0,0.0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,1,2,0,2,2,2,2,0,0,0,0,0,0,1,0,0,0,2,15,7,4382,499,326,TV,A
0,0,0,2,0.524,0,0,0,1,3,4,0,0,1,0,1,2,0,0,0,3,5,6,10,9,9,6,6,0,0,1,0,0,2,0,0,3,7,0,4289,0,0,TV,A
0,0,0,1,0.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,2,4,2,3,1,3,0,0,0,1,0,0,0,0,2,48,1,4117,0,0,TV,R
0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,4,2,2,2,2,1,0,0,0,0,0,0,0,0,1,0,4105,423,583,TV,R
1,0,2,4,2.899,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,4045,107916,997,TV,A
0,0,0,1,1.19,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,2,4,2,3,1,3,0,0,0,0,0,0,0,0,1,2,0,3041,0,0,TV,V
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,1,4,0,2691,758,974,TV,V
0,0,0,4,3.546,2,0,0,1,2,1,1,0,0,0,3,2,0,0,0,0,5,3,6,3,5,3,5,0,0,0,0,0,1,0,0,1,5,0,1855,0,0,TV,A
0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1795,265,637,TV,A
0,0,1,6,0.971,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,8,1,1752,1324,890,TV,V
4,0,0,7,5.618,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,3,0,0,0,0,1,1,0,0,0,0,0,1480,0,0,TV,V
4,0,0,5,7.463,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,1,2,0,0,0,0,0,0,0,0,2,0,0,1281,0,0,TV,A
4,0,0,5,6.299,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,4,2,3,0,0,0,0,0,1,0,0,2,1,0,1257,0,0,TV,A
2,0,0,4,11.429,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,949,0,0,TV,A
0,0,0,2,0.0,2,0,0,3,2,5,0,1,0,0,4,3,0,0,0,2,10,7,11,7,11,6,9,1,0,3,1,0,0,0,0,4,277,11,917,0,0,TV,V
0,0,0,1,0.0,0,0,0,2,1,2,1,0,0,0,1,0,0,0,0,1,5,3,5,3,5,3,5,0,0,2,0,0,0,0,0,0,2,0,874,0,0,TV,V
4,0,1,10,6.667,0,0,0,1,3,3,0,2,0,0,4,1,0,0,0,1,2,6,8,7,8,3,2,1,0,0,0,0,3,0,0,4,0,0,474,15,159,TV,V
0,0,0,0,0.0,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,3,3,4,3,3,3,3,0,0,0,0,0,0,0,0,2,2,0,211,662,789,TV,V
1,0,0,1,1.351,0,0,2,4,2,4,0,3,0,0,2,1,1,0,0,2,5,4,7,5,7,4,5,0,0,1,0,0,0,0,0,2,0,0,96,42,94,TV,V
4,0,0,5,5.426,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,5,1,6,1,5,1,6,0,0,1,1,0,1,0,0,2,0,0,86344,0,0,TV,A
0,0,0,1,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,3,3,4,3,3,3,4,1,0,0,0,0,0,0,0,3,8,0,86310,127,190,TV,A
0,0,0,3,0.0,1,0,0,1,2,2,0,0,0,0,2,0,0,1,0,1,6,5,6,5,6,5,3,1,0,0,1,0,0,0,0,1,0,0,86295,0,0,TV,V
4,0,0,11,5.039,10,0,0,1,3,4,1,0,0,0,1,1,0,0,0,1,6,3,7,4,8,3,4,0,0,0,2,0,1,0,0,3,0,0,86286,0,0,TV,A
